SEX;SCORED_1_LINE;SCORED_2_LINE;SCORED;DEFENCE_0;DEFENCE_1;DEFENCE_2;DEFENCE_3;DEFENCE;GIVEN_POINT;FRAME;LANDING;LINE;OTHER_ERRORS;OVERTURNING_FAILED;ENGAGE_FAILED;SWITCH_FAILED;CONSTRUCTION_FAILED;OTHER_FOULS;FOUL;TOTAL_SHOT_1_LINE;TOTAL_SHOT_2_LINE;TOTAL_SHOT;%SHOT_SCORED_1_LINE;%SHOT_SCORED_2_LINE;%SHOT_SCORED;CAUGHT_1_LINE;CAUGHT_2_LINE;DEFENSIVE_TOUCH;CAUGHT;DROPPED;TOTAL_DEFENCE;%SHOT_DEFENDED;MIN;PPM;DPM;TRUE_POINTS;TPPM;%TRUE_SHOT_SCORED;POINT_ON_TEAM;DEFENCE_ON _TEAM;TRUE_POINT_ON_TEAM;VAL_OFF;VAL_DEF;VAL;VALPM;VAL_ON_TEAM;ROLE
1;;;3;;;;;7;0;;;;;;;;;;;;;;;;25;;;;4;7;;67;;;;;;;;;;;;;;;Wing
1;;;1;;;;;;;;;;;;;;;;1;;;;;;50;;;;6;4;;60;;;;;;;;;;;;;;;Pivot
1;;;;;;;;;0;;;;;;;;;;1;;;;;;0;;;;;;;100;;;;;;;;;;;;;;;Pivot
1;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;Wing
1;;;13;;;;;3;4;;;;;;;;;;4;;;;;;65;;;;5;6;;45;;;;;;;;;;;;;;;Wing
1;;;;;;;;3;1;;;;;;;;;;3;;;;;;20;;;;;;;;;;;;;;;;;;;;;;Wing
1;;;;;;;;2;1;;;;;;;;;;3;;;;;;33;;;;;;;;;;;;;;;;;;;;;;Pivot
1;;;;;;;;1;0;;;;;;;;;;0;;;;;;75;;;;;;;;;;;;;;;;;;;;;;Wing
1;;;;;;;;1;1;;;;;;;;;;1;;;;;;50;;;;;;;;;;;;;;;;;;;;;;Pivot
1;;;;;;;;2;0;;;;;;;;;;1;;;;;;61;;;;;;;;;;;;;;;;;;;;;;Wing
1;;;;;;;;2;1;;;;;;;;;;3;;;;;;100;;;;;;;;;;;;;;;;;;;;;;Wing
1;;;;;;;;5;0;;;;;;;;;;5;;;;;;50;;;;;;;;;;;;;;;;;;;;;;Wing
1;;;;;;;;2;1;;;;;;;;;;0;;;;;;50;;;;;;;;;;;;;;;;;;;;;;Wing
1;;;;;;;;0;0;;;;;;;;;;1;;;;;;100;;;;;;;;;;;;;;;;;;;;;;Pivot
1;;;;;;;;3;1;;;;;;;;;;3;;;;;;51;;;;;;;;;;;;;;;;;;;;;;Wing
1;;;;;;;;1;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;Pivot
1;;;;;;;;0;1;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;Pivot
1;;;0;;;;;0;1;;;;;;;;;;1;;;;;;0;;;;1;2;;33;;;;;;;;;;;;;;;Pivot
1;;;0;;;;;1;0;;;;;;;;;;1;;;;;;0;;;;5;5;;50;;;;;;;;;;;;;;;Pivot
1;;;0;;;;;1;0;;;;;;;;;;2;;;;;;0;;;;2;0;;100;;;;;;;;;;;;;;;Wing
1;;;2;;;;;1;0;;;;;;;;;;2;;;;;;66;;;;2;4;;33;;;;;;;;;;;;;;;Wing
1;;;6;;;;;2;0;;;;;;;;;;5;;;;;;15;;;;0;4;;0;;;;;;;;;;;;;;;Wing
1;;;3;;;;;5;0;;;;;;;;;;2;;;;;;37;;;;3;1;;75;;;;;;;;;;;;;;;Wing
1;;;5;;;;;5;1;;;;;;;;;;4;;;;;;45;;;;3;3;;50;;;;;;;;;;;;;;;Wing
1;;;4;;;;;10;0;;;;;;;;;;2;;;;;;28;;;;2;6;;25;;;;;;;;;;;;;;;Wing
1;;;1;;;;;0;0;;;;;;;;;;1;;;;;;100;;;;3;0;;100;;;;;;;;;;;;;;;Pivot
0;;;13;;;;;2;0;;;;;;;;;;3;;;;;;86;;;;;5;;28;;;;;;;;;;;;;;;Wing
